County,Net taxable a/  assessed value,"Property tax allocations and levies b,e/ (city)","Property tax allocations and levies b,e/ (County)","Property tax allocations and levies b,e/ (School)","Property tax allocations and levies b,e/ (Other Districts)","Property tax allocations and levies b,e/ (Total)",Average tax rate (%) 2010-11,Rank,Per Capita Income,Median Household Income,Median Family Income,Population,Number of Households,English-Language Arts (Grades 2-11) - Number of scores,English-Language Arts (Grades 2-11) - % Proficient or Advanced,"History (Grades 8 and 11, and end-of-course) - Number of scores","History (Grades 8 and 11, and end-of-course) - % Proficient or Advanced","Mathematics (Grades 2-7, and end-of-course) - Number of scores","Mathematics (Grades 2-7, and end-of-course) - % Proficient or Advanced","Science CST (Grades 5, 8, and 10) - Number of scores","Science CST (Grades 5, 8, and 10) - % Proficient or Advanced",Number of Students Included in API,2011 Base API,Total Student Cohort,Total Cohort Graduates,Cohort Dropouts,Cohort Graduation Percentage,Enrollment,Suspensions,Suspension Rate,Expulsions,Expulsion Rate,Truants,Truancy Rate,Bachelors or less,Masters or more,Associates,Bachelors,Masters,Juris Doctor,PhD
Mendocino County,9840384000,1909000,27476000,68890000,10822000,109096000,1.11%,37,23357,43759,51787,87841,34945,"9,118",46.6,"2,778",45.4,"8,780",39.3,"2,721",50.6,8413,723,"1,015",830,111,81.8,"13,828","1,500",10.8,52,0.4,"2,600",18.8,614,179,1,608,172,0,7
Merced County,16375063000,9506000,38121000,132339000,18691000,198658000,1.21%,55,18041,43844,47924,255793,75642,"39,205",49.3,"12,007",43.5,"38,465",45.7,"11,715",53.8,39652,764,"4,360","3,657",449,83.9,"59,484","6,322",10.6,91,0.2,"16,178",27.2,2060,432,1,2055,428,0,4
Modoc County,1029817000,323000,2724000,6686000,593000,10326000,1.00%,46,20536,34588,46349,9686,4064,"1,136",46.3,376,43.1,"1,084",41.4,338,56.5,1116,758,109,93,14,85.3,"1,726",75,4.3,3,0.2,575,33.3,85,23,0,85,23,0,0
Mono County,5595854000,2442000,17669000,25978000,14920000,61008000,1.09%,25,27321,55087,74888,14202,5768,"1,149",56.2,326,46,"1,144",50.6,350,64.6,1160,772,190,116,36,61.1,"2,165",97,4.5,0,0.0,379,17.5,95,34,0,91,34,0,0
Monterey County,48819404000,31039000,78076000,338791000,83327000,531233000,1.09%,30,25776,59271,63372,415057,125946,"50,838",46,"14,524",40.7,"49,927",42.4,"14,714",49.2,48868,738,"4,825","3,802",616,78.8,"76,020","4,731",6.2,69,0.1,"12,051",15.9,2213,1038,5,2198,1015,0,23
Napa County,27073643000,25815000,54551000,194379000,17011000,291755000,1.08%,8,34310,67389,80030,136484,48876,"14,971",57,"4,808",46.8,"14,822",49,"4,530",54.2,14931,778,"1,598","1,341",163,83.9,"21,433","1,057",4.9,51,0.2,"3,789",17.7,771,260,2,769,253,0,7
Nevada County,15641810000,12059000,22146000,93957000,35506000,163668000,1.05%,15,30727,57121,66753,98764,41527,"8,205",61.8,"2,872",53.3,"8,001",48.4,"2,610",63.6,8137,795,"2,048","1,005",673,49.1,"15,888",781,4.9,18,0.1,"2,473",15.6,475,182,3,472,178,0,4
Orange County,"417,883,826,000",457136000,266121000,2747874000,951820000,4422951000,1.06%,9,34017,74344,83735,3010232,992781,"360,810",65.6,"116,066",61.1,"358,021",61.7,"108,449",70.1,363001,828,"43,004","36,686","3,911",85.3,"520,796","22,213",4.3,369,0.1,"100,600",19.3,8809,11572,4,8798,11406,0,166
Placer County,54021664000,38143000,99096000,370405000,74911000,582555000,1.08%,6,35680,74447,89196,348432,132627,"50,407",72.1,"16,087",63.9,"49,870",60.3,"15,176",75.2,47660,853,"5,669","5,031",339,88.8,"72,224","3,218",4.5,74,0.1,"11,210",15.5,2290,964,0,2285,951,1,12
Plumas County,3948446000,255000,8271000,27641000,4467000,40634000,1.03%,19,28732,44000,54182,20007,8977,"1,580",62.5,451,52.5,"1,517",49.7,475,65.9,1445,814,206,170,28,82.5,"2,373",0,0.0,0,0.0,424,17.9,11,6,0,11,6,0,0
